episode,env_seed,agent,return,steps,score,broken_bricks,remaining_bricks,clear,lives,terminal_reason,blocks_per_100_steps,wall_clock_sec
0,0,Random,149.16000000000045,84,1,1,81,0,0,no_lives,1.1904761904761905,0.007792640011757612
1,1,Random,547.2200000000023,278,3,3,79,0,0,no_lives,1.079136690647482,0.025096198020037264
2,2,Random,745.8500000000034,415,4,4,78,0,0,no_lives,0.9638554216867471,0.036777077009901404
3,3,Random,745.950000000003,405,4,4,78,0,0,no_lives,0.9876543209876543,0.03555776400025934
4,4,Random,149.01000000000053,99,1,1,81,0,0,no_lives,1.0101010101010102,0.009094737994018942
5,5,Random,149.13000000000048,87,1,1,81,0,0,no_lives,1.1494252873563218,0.007863573031499982
6,6,Random,347.63000000000187,237,2,2,80,0,0,no_lives,0.8438818565400843,0.021028871997259557
7,7,Random,149.2800000000004,72,1,1,81,0,0,no_lives,1.3888888888888888,0.006594397011213005
8,8,Random,349.11000000000047,89,2,2,80,0,0,no_lives,2.247191011235955,0.007956126006320119
9,9,Random,148.99000000000055,101,1,1,81,0,0,no_lives,0.9900990099009901,0.009094867971725762
10,10,Random,348.9100000000006,109,2,2,80,0,0,no_lives,1.834862385321101,0.009884085971862078
11,11,Random,148.4200000000008,158,1,1,81,0,0,no_lives,0.6329113924050633,0.0140522500150837
12,12,Random,149.18000000000043,82,1,1,81,0,0,no_lives,1.2195121951219512,0.007339061005041003
13,13,Random,349.1000000000005,90,2,2,80,0,0,no_lives,2.2222222222222223,0.008158986049238592
14,14,Random,149.03000000000054,97,1,1,81,0,0,no_lives,1.0309278350515463,0.008746475970838219
15,15,Random,149.16000000000045,84,1,1,81,0,0,no_lives,1.1904761904761905,0.007516502984799445
16,16,Random,348.33000000000123,167,2,2,80,0,0,no_lives,1.1976047904191618,0.015124326979275793
17,17,Random,2545.219999999965,478,13,13,69,0,0,no_lives,2.7196652719665275,0.04103894700529054
18,18,Random,149.16000000000045,84,1,1,81,0,0,no_lives,1.1904761904761905,0.007558061042800546
19,19,Random,9532.269999999673,1773,48,48,34,0,0,no_lives,2.707275803722504,0.12647170200943947
0,0,FollowBall,16318.729999998473,8127,82,82,0,1,1,cleared,1.0089824043312414,0.46291566302534193
1,1,FollowBall,16099.999999997919,10000,81,81,1,0,1,max_steps,0.8099999999999999,0.540574134036433
2,2,FollowBall,16302.659999998119,9734,82,82,0,1,1,cleared,0.84240805424286,0.5100091670174152
3,3,FollowBall,16316.879999998353,8312,82,82,0,1,1,cleared,0.9865255052935515,0.44350091397063807
4,4,FollowBall,15499.999999997961,10000,78,78,4,0,1,max_steps,0.7799999999999999,0.5445867169764824
5,5,FollowBall,16319.879999998402,8012,82,82,0,1,1,cleared,1.0234648027958064,0.43165015702834353
6,6,FollowBall,14699.999999997977,10000,74,74,8,0,1,max_steps,0.74,0.5583551269955933
7,7,FollowBall,16311.64999999823,8835,82,82,0,1,1,cleared,0.9281267685342388,0.4551968540181406
8,8,FollowBall,16319.629999998408,8037,82,82,0,1,1,cleared,1.020281199452532,0.44039572204928845
9,9,FollowBall,16099.999999998012,10000,81,81,1,0,1,max_steps,0.8099999999999999,0.5497143199900165
10,10,FollowBall,16305.999999998134,9400,82,82,0,1,1,cleared,0.8723404255319148,0.49003594397800043
11,11,FollowBall,16325.359999998558,7464,82,82,0,1,1,cleared,1.0986066452304395,0.39832628797739744
12,12,FollowBall,16357.929999999236,4207,82,82,0,1,1,cleared,1.9491323983836462,0.25524940399918705
13,13,FollowBall,14099.999999997968,10000,71,71,11,0,1,max_steps,0.7100000000000001,0.5787081370363012
14,14,FollowBall,15099.999999997943,10000,76,76,6,0,1,max_steps,0.76,0.5666689770296216
15,15,FollowBall,15899.999999998081,10000,80,80,2,0,1,max_steps,0.8,0.5372154809883796
16,16,FollowBall,16099.99999999812,10000,81,81,1,0,1,max_steps,0.8099999999999999,0.551411421969533
17,17,FollowBall,16309.729999998202,9027,82,82,0,1,1,cleared,0.9083859532513571,0.4834693940356374
18,18,FollowBall,16332.949999998711,6705,82,82,0,1,1,cleared,1.2229679343773303,0.3754328060313128
19,19,FollowBall,16303.509999998068,9649,82,82,0,1,1,cleared,0.8498289978236087,0.5002774539752863
