episode,env_seed,agent,return,steps,score,broken_bricks,remaining_bricks,clear,lives,terminal_reason,blocks_per_100_steps,wall_clock_sec,life_lost_count,avg_plan_time_ms,avg_best_plan_score,avg_elite_bricks,avg_entropy,config_horizon,config_population_size,config_iterations,config_elite_frac
0,0,Random,149.16000000000045,84,1,1,81,0,0,no_lives,1.1904761904761905,0.007805717992596328,1,0.0,0.0,0.0,0.0,,,,
1,1,Random,547.2200000000023,278,3,3,79,0,0,no_lives,1.079136690647482,0.024735936953220516,1,0.0,0.0,0.0,0.0,,,,
2,2,Random,745.8500000000034,415,4,4,78,0,0,no_lives,0.9638554216867471,0.037020646035671234,1,0.0,0.0,0.0,0.0,,,,
3,3,Random,745.950000000003,405,4,4,78,0,0,no_lives,0.9876543209876543,0.036121940007433295,1,0.0,0.0,0.0,0.0,,,,
4,4,Random,149.01000000000053,99,1,1,81,0,0,no_lives,1.0101010101010102,0.009093914006371051,1,0.0,0.0,0.0,0.0,,,,
0,0,FollowBall,16318.729999998473,8127,82,82,0,1,1,cleared,1.0089824043312414,0.46483954100403935,0,0.0,0.0,0.0,0.0,,,,
1,1,FollowBall,16272.08999999731,12791,82,82,0,1,1,cleared,0.6410757563912126,0.6285199620178901,0,0.0,0.0,0.0,0.0,,,,
2,2,FollowBall,16302.659999998119,9734,82,82,0,1,1,cleared,0.84240805424286,0.48888334003277123,0,0.0,0.0,0.0,0.0,,,,
3,3,FollowBall,16316.879999998353,8312,82,82,0,1,1,cleared,0.9865255052935515,0.4223415229935199,0,0.0,0.0,0.0,0.0,,,,
4,4,FollowBall,16271.279999997334,12872,82,82,0,1,1,cleared,0.6370416407706649,0.6278617469943129,0,0.0,0.0,0.0,0.0,,,,
0,0,CEM-MPC,15849.999999996973,15000,80,80,2,0,1,max_steps,0.5333333333333333,9537.302080922003,0,635.7202475354269,255488.88697349574,0.031733333333333336,0.1507922597623555,25,256,5,0.15
1,1,CEM-MPC,16300.289999997925,9971,82,82,0,1,1,cleared,0.8223849162571456,10629.277236278984,0,1065.833858273554,225011.41198288198,0.05255240196570053,0.12847919113509743,25,256,5,0.15
2,2,CEM-MPC,16289.559999997833,11044,82,82,0,1,1,cleared,0.7424846070264397,21029.465297825984,0,1903.8808789101515,285448.42095426307,0.04654110829409634,0.1669917238052986,25,256,5,0.15
3,3,CEM-MPC,16319.52999999841,8047,82,82,0,1,1,cleared,1.0190132968808252,11870.350046104984,0,1474.9225526606508,267217.9232678345,0.06375046601217846,0.15705559500546915,25,256,5,0.15
4,4,CEM-MPC,16265.509999997208,13449,82,82,0,1,1,cleared,0.6097107591642501,11520.182953180978,0,856.4642267744091,280794.87356994447,0.024239720425310432,0.16744764957688799,25,256,5,0.15
