episode,env_seed,agent,return,steps,score,broken_bricks,remaining_bricks,clear,lives,terminal_reason,blocks_per_100_steps,wall_clock_sec
0,0,Random,149.16000000000045,84,1,1,81,0,0,no_lives,1.1904761904761905,0.007568328990601003
1,1,Random,547.2200000000023,278,3,3,79,0,0,no_lives,1.079136690647482,0.024498091952409595
2,2,Random,745.8500000000034,415,4,4,78,0,0,no_lives,0.9638554216867471,0.036537469015456736
3,3,Random,745.950000000003,405,4,4,78,0,0,no_lives,0.9876543209876543,0.0348701510229148
4,4,Random,149.01000000000053,99,1,1,81,0,0,no_lives,1.0101010101010102,0.008804709010291845
5,5,Random,149.13000000000048,87,1,1,81,0,0,no_lives,1.1494252873563218,0.007767613977193832
6,6,Random,347.63000000000187,237,2,2,80,0,0,no_lives,0.8438818565400843,0.02057569200405851
7,7,Random,149.2800000000004,72,1,1,81,0,0,no_lives,1.3888888888888888,0.006438018986955285
8,8,Random,349.11000000000047,89,2,2,80,0,0,no_lives,2.247191011235955,0.007939355971757323
9,9,Random,148.99000000000055,101,1,1,81,0,0,no_lives,0.9900990099009901,0.008979998005088419
10,10,Random,348.9100000000006,109,2,2,80,0,0,no_lives,1.834862385321101,0.009710689017083496
11,11,Random,148.4200000000008,158,1,1,81,0,0,no_lives,0.6329113924050633,0.013931897992733866
12,12,Random,149.18000000000043,82,1,1,81,0,0,no_lives,1.2195121951219512,0.007257706020027399
13,13,Random,349.1000000000005,90,2,2,80,0,0,no_lives,2.2222222222222223,0.008016278967261314
14,14,Random,149.03000000000054,97,1,1,81,0,0,no_lives,1.0309278350515463,0.008710531983524561
15,15,Random,149.16000000000045,84,1,1,81,0,0,no_lives,1.1904761904761905,0.007436501968186349
16,16,Random,348.33000000000123,167,2,2,80,0,0,no_lives,1.1976047904191618,0.014837537019047886
17,17,Random,2545.219999999965,478,13,13,69,0,0,no_lives,2.7196652719665275,0.04071697097970173
18,18,Random,149.16000000000045,84,1,1,81,0,0,no_lives,1.1904761904761905,0.0074084289954043925
19,19,Random,9532.269999999673,1773,48,48,34,0,0,no_lives,2.707275803722504,0.12249546800740063
20,20,Random,149.0800000000005,92,1,1,81,0,0,no_lives,1.0869565217391304,0.008134372008498758
21,21,Random,149.10000000000048,90,1,1,81,0,0,no_lives,1.1111111111111112,0.007916603004559875
22,22,Random,347.9600000000015,204,2,2,80,0,0,no_lives,0.9803921568627451,0.017975143971852958
23,23,Random,149.13000000000048,87,1,1,81,0,0,no_lives,1.1494252873563218,0.007707200013101101
24,24,Random,348.9800000000006,102,2,2,80,0,0,no_lives,1.9607843137254901,0.008890528988558799
25,25,Random,148.93000000000058,107,1,1,81,0,0,no_lives,0.9345794392523363,0.009465579001698643
26,26,Random,348.26000000000124,174,2,2,80,0,0,no_lives,1.1494252873563218,0.015438203990925103
27,27,Random,6725.5899999996445,2441,34,34,48,0,0,no_lives,1.3928717738631708,0.19036562304245308
28,28,Random,149.13000000000048,87,1,1,81,0,0,no_lives,1.1494252873563218,0.007729159959126264
29,29,Random,548.3500000000008,165,3,3,79,0,0,no_lives,1.8181818181818181,0.014316299988422543
30,30,Random,149.0600000000005,94,1,1,81,0,0,no_lives,1.0638297872340425,0.008190006017684937
31,31,Random,148.92000000000058,108,1,1,81,0,0,no_lives,0.9259259259259258,0.009577319025993347
32,32,Random,149.0700000000005,93,1,1,81,0,0,no_lives,1.0752688172043012,0.008205305028241128
33,33,Random,3538.089999999899,1191,18,18,64,0,0,no_lives,1.5113350125944585,0.09716590703465044
34,34,Random,148.54000000000076,146,1,1,81,0,0,no_lives,0.684931506849315,0.012742195976898074
35,35,Random,744.7000000000045,530,4,4,78,0,0,no_lives,0.7547169811320755,0.04607176699209958
36,36,Random,149.04000000000053,96,1,1,81,0,0,no_lives,1.0416666666666665,0.008428473025560379
37,37,Random,149.13000000000048,87,1,1,81,0,0,no_lives,1.1494252873563218,0.007756592996884137
38,38,Random,746.2400000000031,376,4,4,78,0,0,no_lives,1.0638297872340425,0.03300938004394993
39,39,Random,348.4700000000011,153,2,2,80,0,0,no_lives,1.3071895424836601,0.013365746010094881
40,40,Random,7139.609999999857,1039,36,36,46,0,0,no_lives,3.4648700673724733,0.08153756597312167
41,41,Random,149.0600000000005,94,1,1,81,0,0,no_lives,1.0638297872340425,0.00842922501033172
42,42,Random,149.0600000000005,94,1,1,81,0,0,no_lives,1.0638297872340425,0.008300673973280936
43,43,Random,348.1900000000013,181,2,2,80,0,0,no_lives,1.1049723756906076,0.016109594027511775
44,44,Random,148.31000000000085,169,1,1,81,0,0,no_lives,0.591715976331361,0.014870349026750773
45,45,Random,744.9600000000044,504,4,4,78,0,0,no_lives,0.7936507936507936,0.04377094004303217
46,46,Random,148.92000000000058,108,1,1,81,0,0,no_lives,0.9259259259259258,0.00971086899517104
47,47,Random,149.14000000000047,86,1,1,81,0,0,no_lives,1.1627906976744187,0.007753066020086408
48,48,Random,547.3000000000021,270,3,3,79,0,0,no_lives,1.1111111111111112,0.02372099395142868
49,49,Random,149.13000000000048,87,1,1,81,0,0,no_lives,1.1494252873563218,0.007786798989400268
0,0,FollowBall,16318.729999998473,8127,82,82,0,1,1,cleared,1.0089824043312414,0.4606676260009408
1,1,FollowBall,16272.08999999731,12791,82,82,0,1,1,cleared,0.6410757563912126,0.6328424389939755
2,2,FollowBall,16302.659999998119,9734,82,82,0,1,1,cleared,0.84240805424286,0.5108643110143021
3,3,FollowBall,16316.879999998353,8312,82,82,0,1,1,cleared,0.9865255052935515,0.4380467060254887
4,4,FollowBall,16271.279999997334,12872,82,82,0,1,1,cleared,0.6370416407706649,0.6515416210168041
5,5,FollowBall,16319.879999998402,8012,82,82,0,1,1,cleared,1.0234648027958064,0.42861363803967834
6,6,FollowBall,16277.69999999749,12230,82,82,0,1,1,cleared,0.6704824202780049,0.6434969779802486
