episode,env_seed,return,steps,score,broken_bricks,remaining_bricks,clear,lives,terminal_reason,epsilon,loss,td_error_abs_mean,q_mean,q_max,replay_size,global_step,wall_clock_sec
0,0,348.3200000000012,168,2,2,80,0,0,no_lives,0.996808,0.0,0.0,0.0,0.0,168,168,0.026702040995587595
1,1,747.7300000000018,227,4,4,78,0,0,no_lives,0.992495,0.0,0.0,0.0,0.0,395,395,0.05125841699918965
2,2,545.250000000004,475,3,3,79,0,0,no_lives,0.98347,0.0,0.0,0.0,0.0,870,870,0.09200479200080736
3,3,744.0800000000047,592,4,4,78,0,0,no_lives,0.972222,1.9909286830098052,2.043919836105598,-0.07460186638382563,-0.06741607612749204,1462,1462,1.4916191249940312
4,4,149.01000000000053,99,1,1,81,0,0,no_lives,0.970341,1.811351631034453,1.8719787076162644,-0.0926825377074155,-0.08967581135456008,1561,1561,0.30751787499320926
5,5,149.13000000000048,87,1,1,81,0,0,no_lives,0.968688,2.0251975109086984,2.077264865646246,-0.030991267598396027,-0.025148081868196483,1648,1648,0.24653454199869884
6,6,348.29000000000127,171,2,2,80,0,0,no_lives,0.965439,1.9984654751990933,2.0557936998356503,-0.04798060445365501,-0.04143143620625225,1819,1819,0.5040154579983209
7,7,149.2800000000004,72,1,1,81,0,0,no_lives,0.964071,2.0575826560210166,2.1306381444446743,-0.04499302030954924,-0.03907026334976157,1891,1891,0.22767895899596624
8,8,349.11000000000047,89,2,2,80,0,0,no_lives,0.96238,2.1974285028599287,2.237942895532868,-0.03868301868375935,-0.030994881216562197,1980,1980,0.3399171250057407
9,9,148.99000000000055,101,1,1,81,0,0,no_lives,0.960461,2.3185395910627853,2.3528411849447997,-0.0444123908453206,-0.03772757655830298,2081,2081,0.30121395800233586
10,10,3938.609999999894,1139,20,20,62,0,0,no_lives,0.93882,2.5053434503836094,2.5225158125575353,-0.04264176720336302,-0.03821228114402378,3220,3220,3.3470170829968993
11,11,148.4200000000008,158,1,1,81,0,0,no_lives,0.935818,2.7925065330351297,2.8113561065814494,-0.03896440518430517,-0.03266008285499072,3378,3378,0.44107641599839553
12,12,149.18000000000043,82,1,1,81,0,0,no_lives,0.93426,2.7258450348012846,2.7417041786333045,-0.04316797638993438,-0.03919054726820167,3460,3460,0.23341249999793945
13,13,6938.539999999924,1146,35,35,47,0,0,no_lives,0.912486,2.889321214946934,2.908788801866533,-0.04275874855455147,-0.02549554664807404,4606,4606,3.2361157909981557
14,14,149.03000000000054,97,1,1,81,0,0,no_lives,0.910643,3.581668152273741,3.6068162972625997,-0.04135205867441045,0.08763103483763245,4703,4703,0.2829249579954194
15,15,149.16000000000045,84,1,1,81,0,0,no_lives,0.9090469999999999,3.3525031855839362,3.377160391315729,-0.0414480994943352,0.07185564176844698,4787,4787,0.2322027500049444
16,16,149.20000000000044,80,1,1,81,0,0,no_lives,0.907527,3.1839148769884558,3.207834799750708,-0.042138954252004625,0.07864067238988355,4867,4867,0.22600429099838948
17,17,148.97000000000057,103,1,1,81,0,0,no_lives,0.90557,3.8381417240358062,3.866487392784973,-0.03910537246723198,0.1179074915668484,4970,4970,0.2893113340032869
18,18,149.16000000000045,84,1,1,81,0,0,no_lives,0.903974,3.227019994479287,3.251597353002234,-0.030505046644802428,0.24317890587484553,5054,5054,0.23511412499647122
19,19,1145.1300000000042,487,6,6,76,0,0,no_lives,0.894721,3.2615462515803886,3.2890489031991,-0.025059562773243917,0.38023445058759353,5541,5541,1.3614456669965875
20,20,149.0800000000005,92,1,1,81,0,0,no_lives,0.892973,3.5428150034877826,3.5711491531793675,-0.024439333327514443,0.4831194678402465,5633,5633,0.25662999999622116
21,21,944.9600000000042,504,5,5,77,0,0,no_lives,0.883397,3.2420708463650376,3.269435336914963,-0.027312956064720527,0.4381458434490635,6137,6137,1.7776219580046018
22,22,149.04000000000053,96,1,1,81,0,0,no_lives,0.8815729999999999,3.2735797694219095,3.3028009287857762,-0.029754204384516925,0.5151253508714339,6233,6233,0.2679244579994702
23,23,944.9800000000042,502,5,5,77,0,0,no_lives,0.872035,3.193138770170478,3.222672578581865,-0.03210922791270086,0.6093210783672047,6735,6735,1.3901444169969182
24,24,348.9800000000006,102,2,2,80,0,0,no_lives,0.870097,2.8210506895843803,2.8485945535221084,-0.03501722093571123,0.5584633985680401,6837,6837,0.28304100000241306
25,25,148.93000000000058,107,1,1,81,0,0,no_lives,0.868064,2.8129573218010653,2.838974859182523,-0.03511257244656994,0.6064554604692994,6944,6944,0.3148470419982914
26,26,1744.1600000000049,584,9,9,73,0,0,no_lives,0.856968,3.227242606608293,3.259762674876272,-0.034088408285915396,0.8349662422049433,7528,7528,1.6360024169989629
27,27,348.26000000000124,174,2,2,80,0,0,no_lives,0.853662,3.3584164773517466,3.3910657826104553,-0.03208023139500413,1.043631219893865,7702,7702,0.48507591700035846
28,28,149.13000000000048,87,1,1,81,0,0,no_lives,0.852009,3.0984369810649204,3.1283671484682065,-0.03545968780352937,0.8348099241654078,7789,7789,0.270183917004033
29,29,548.3500000000008,165,3,3,79,0,0,no_lives,0.848874,3.061914682588593,3.094462724639611,-0.03296849866235403,1.52227113926501,7954,7954,0.5889017909939867
30,30,149.0600000000005,94,1,1,81,0,0,no_lives,0.8470880000000001,3.016113888872032,3.0471447190230196,-0.02304293986464395,1.4940948028196679,8048,8048,0.32261475000268547
31,31,148.92000000000058,108,1,1,81,0,0,no_lives,0.845036,2.912353005447248,2.9452836784378937,-0.019117626046526885,1.8581681713047955,8156,8156,0.3635647089977283
32,32,149.0700000000005,93,1,1,81,0,0,no_lives,0.843269,3.4080068039812987,3.441607532502022,-0.0180213223674625,2.0476557295969737,8249,8249,0.3524314169990248
33,33,149.13000000000048,87,1,1,81,0,0,no_lives,0.841616,3.3535610694172604,3.3898310157117146,-0.016843191413248984,1.532652098985239,8336,8336,0.2925277920003282
34,34,148.54000000000076,146,1,1,81,0,0,no_lives,0.838842,2.827338492436504,2.858114641210804,-0.0199492322281003,1.5050158812473082,8482,8482,0.44977004200336523
35,35,149.00000000000054,100,1,1,81,0,0,no_lives,0.8369420000000001,3.2773104653487097,3.3116478392109276,-0.020157106386395753,1.851331415399909,8582,8582,0.3281270829975256
36,36,149.04000000000053,96,1,1,81,0,0,no_lives,0.835118,2.978999235206478,3.010091954822807,-0.019397755901688168,2.1921827288654945,8678,8678,0.3052512089998345
37,37,149.13000000000048,87,1,1,81,0,0,no_lives,0.833465,2.7564718436064055,2.787213213763189,-0.017372463353449243,2.1428263823705156,8765,8765,0.2908660829998553
38,38,347.60000000000184,240,2,2,80,0,0,no_lives,0.828905,2.9250497376713005,2.958043057572407,-0.022097194892133607,2.365007129885877,9005,9005,0.7401116659966647
39,39,348.4500000000011,155,2,2,80,0,0,no_lives,0.82596,3.1112725166801076,3.147298184301584,-0.009225196687545957,3.462131410164218,9160,9160,1.6004791250015842
40,40,149.13000000000048,87,1,1,81,0,0,no_lives,0.824307,3.142504686718183,3.182469537588714,-0.001065227037145831,6.543386311966112,9247,9247,0.5683675000036601
41,41,149.0600000000005,94,1,1,81,0,0,no_lives,0.8225210000000001,2.9403639631314906,2.9758759599297924,-0.011802429969898089,2.9881324221162084,9341,9341,0.4257417920016451
