episode,env_seed,obs_mode,network_type,dueling,double_dqn,per,n_step,lexicographic,return,steps,score,broken_bricks,remaining_bricks,clear,lives,terminal_reason,epsilon,loss,td_error_abs_mean,q_mean,q_max,replay_size,global_step,wall_clock_sec
0,0,hybrid,cnn,1,1,0,1,0,944.9200000000043,508,5,5,77,0,0,no_lives,0.990348,0.0,0.0,0.0,0.0,508,508,0.7328798259841278
1,1,hybrid,cnn,1,1,0,1,0,149.2900000000004,71,1,1,81,0,0,no_lives,0.988999,0.0,0.0,0.0,0.0,579,579,0.07991563098039478
2,2,hybrid,cnn,1,1,0,1,0,149.04000000000053,96,1,1,81,0,0,no_lives,0.987175,0.0,0.0,0.0,0.0,675,675,0.10709910502191633
3,3,hybrid,cnn,1,1,0,1,0,547.4600000000016,254,3,3,79,0,0,no_lives,0.982349,0.0,0.0,0.0,0.0,929,929,0.27724562300136313
4,4,hybrid,cnn,1,1,0,1,0,149.01000000000053,99,1,1,81,0,0,no_lives,0.980468,2.2237676567044753,2.272326346101432,0.007368089229767692,0.02497359085828066,1028,1028,0.46689074201276526
5,5,hybrid,cnn,1,1,0,1,0,149.13000000000048,87,1,1,81,0,0,no_lives,0.978815,2.303123758558516,2.329096013401774,0.015805030412551806,0.03674614469081849,1115,1115,0.45477084204321727
6,6,hybrid,cnn,1,1,0,1,0,744.8900000000044,511,4,4,78,0,0,no_lives,0.969106,2.1564737434100625,2.206138610635718,0.31437801124488524,52.476780836596184,1626,1626,2.699466118006967
7,7,hybrid,cnn,1,1,0,1,0,2946.0099999999657,399,15,15,67,0,0,no_lives,0.961525,2.57754853662841,2.6443598339133394,1.0936380295096932,181.91267190899765,2025,2025,2.094167038972955
8,8,hybrid,cnn,1,1,0,1,0,349.11000000000047,89,2,2,80,0,0,no_lives,0.959834,3.5359653907545496,3.626617389448573,3.154067441988527,345.28168933311207,2114,2114,0.47962842998094857
9,9,hybrid,cnn,1,1,0,1,0,148.99000000000055,101,1,1,81,0,0,no_lives,0.957915,3.023758364786016,3.1051034962776862,3.23117063246151,339.4849231077893,2215,2215,0.5532021340331994
10,10,hybrid,cnn,1,1,0,1,0,348.9100000000006,109,2,2,80,0,0,no_lives,0.955844,2.8525786153767085,2.931615808141341,3.2572782206425974,328.94010869297415,2324,2324,0.5906414590426721
11,11,hybrid,cnn,1,1,0,1,0,148.4200000000008,158,1,1,81,0,0,no_lives,0.952842,2.746051788754478,2.8246463961616346,3.3596931603513185,340.5410865107669,2482,2482,0.854470380989369
12,12,hybrid,cnn,1,1,0,1,0,149.18000000000043,82,1,1,81,0,0,no_lives,0.951284,2.7480576867010535,2.8294983186372895,3.736273748118703,366.4994032324814,2564,2564,0.4481271089753136
13,13,hybrid,cnn,1,1,0,1,0,3140.8199999998997,918,16,16,66,0,0,no_lives,0.9338420000000001,3.8457021018843247,3.972360685045683,8.45156443183978,401.69496704965894,3482,3482,4.860892608005088
14,14,hybrid,cnn,1,1,0,1,0,149.03000000000054,97,1,1,81,0,0,no_lives,0.931999,4.2710469137762015,4.429217762553815,12.009574496868959,394.68814102644774,3579,3579,0.5256040839594789
15,15,hybrid,cnn,1,1,0,1,0,149.16000000000045,84,1,1,81,0,0,no_lives,0.930403,3.9504337509473166,4.105395302886055,11.245439171791077,415.22525787353516,3663,3663,0.46050029603065923
16,16,hybrid,cnn,1,1,0,1,0,348.3800000000012,162,2,2,80,0,0,no_lives,0.927325,4.301749919667656,4.456381487257687,11.583619712311545,438.6069108939465,3825,3825,0.8864808279904537
17,17,hybrid,cnn,1,1,0,1,0,148.97000000000057,103,1,1,81,0,0,no_lives,0.925368,3.8610873714234066,4.012947178581386,11.179113290842297,429.33904318207675,3928,3928,0.5638517870102078
18,18,hybrid,cnn,1,1,0,1,0,149.16000000000045,84,1,1,81,0,0,no_lives,0.923772,4.181225978192829,4.332520503373373,11.165929805664788,414.2009528023856,4012,4012,0.4562333259964362
19,19,hybrid,cnn,1,1,0,1,0,149.20000000000044,80,1,1,81,0,0,no_lives,0.922252,5.950191012024879,6.11895387172699,14.489020943641663,508.81957588195803,4092,4092,0.4423152729868889
20,20,hybrid,cnn,1,1,0,1,0,149.0800000000005,92,1,1,81,0,0,no_lives,0.920504,5.04645300300225,5.205872776715652,13.80094938174538,485.1966068433679,4184,4184,0.49938962201122195
21,21,hybrid,cnn,1,1,0,1,0,149.10000000000048,90,1,1,81,0,0,no_lives,0.918794,4.978676687346565,5.136565272013346,14.087070284949409,496.8993328518338,4274,4274,0.48882146598771214
22,22,hybrid,cnn,1,1,0,1,0,149.04000000000053,96,1,1,81,0,0,no_lives,0.91697,4.73738141109546,4.8913126563032465,13.648402134577433,474.6232900619507,4370,4370,0.525277747947257
23,23,hybrid,cnn,1,1,0,1,0,149.13000000000048,87,1,1,81,0,0,no_lives,0.915317,4.4348204971730025,4.581564663470476,13.628001881741929,488.63028620577404,4457,4457,0.4733878750121221
24,24,hybrid,cnn,1,1,0,1,0,348.9800000000006,102,2,2,80,0,0,no_lives,0.913379,4.623239154909172,4.774098431362825,13.759062177994672,481.36878159466914,4559,4559,0.5575310119893402
25,25,hybrid,cnn,1,1,0,1,0,148.93000000000058,107,1,1,81,0,0,no_lives,0.911346,4.6616507478963545,4.811979679303748,13.677183623625853,465.34641458386574,4666,4666,0.5878931590123102
26,26,hybrid,cnn,1,1,0,1,0,9326.839999999649,2316,47,47,35,0,0,no_lives,0.8673420000000001,6.1881398027939705,6.39078164949936,22.38318075993724,521.4134530049325,6982,6982,12.094847584026866
27,27,hybrid,cnn,1,1,0,1,0,149.0600000000005,94,1,1,81,0,0,no_lives,0.865556,6.9640020690065745,7.2101675906079885,28.805278920112773,528.911739105874,7076,7076,0.5252754230168648
28,28,hybrid,cnn,1,1,0,1,0,149.13000000000048,87,1,1,81,0,0,no_lives,0.863903,6.582017756056511,6.828716289037946,28.911565320245153,527.0311338928924,7163,7163,0.4868924290058203
29,29,hybrid,cnn,1,1,0,1,0,548.3500000000008,165,3,3,79,0,0,no_lives,0.860768,6.2402913902745105,6.480272700569847,28.321899044152463,514.5003179376776,7328,7328,0.9535290430067107
