episode,env_seed,return,steps,score,broken_bricks,remaining_bricks,clear,lives,terminal_reason,epsilon,loss,td_error_abs_mean,q_mean,q_max,replay_size,global_step,wall_clock_sec
0,0,348.3200000000012,168,2,2,80,0,0,no_lives,0.996808,0.0,0.0,0.0,0.0,168,168,0.02682312500110129
1,1,348.48000000000116,152,2,2,80,0,0,no_lives,0.99392,0.0,0.0,0.0,0.0,320,320,0.02690095899743028
2,2,149.04000000000053,96,1,1,81,0,0,no_lives,0.992096,0.0,0.0,0.0,0.0,416,416,0.015661833000194747
3,3,348.2700000000009,173,2,2,80,0,0,no_lives,0.988809,0.0,0.0,0.0,0.0,589,589,0.028451958001824096
4,4,149.01000000000053,99,1,1,81,0,0,no_lives,0.986928,0.0,0.0,0.0,0.0,688,688,0.016784249994088896
5,5,149.13000000000048,87,1,1,81,0,0,no_lives,0.985275,0.0,0.0,0.0,0.0,775,775,0.014244958001654595
6,6,744.7500000000045,525,4,4,78,0,0,no_lives,0.9753000000000001,0.5588709780469884,21.138529055142325,0.04887747168587366,0.05845140579444329,1300,1300,1.7807537089975085
7,7,149.2800000000004,72,1,1,81,0,0,no_lives,0.973932,0.18819455521750367,24.04975544081794,0.04896986707010203,0.055855471123423844,1372,1372,0.29960245799884433
8,8,548.2900000000012,171,3,3,79,0,0,no_lives,0.970683,0.1681655187905924,27.96688689962465,0.04564337473776606,0.053886321193554944,1543,1543,0.6265890840004431
9,9,148.99000000000055,101,1,1,81,0,0,no_lives,0.968764,0.08926759598463184,31.04184054384137,0.04825904734875306,0.052986004048644904,1644,1644,0.4066441249960917
10,10,547.3800000000019,262,3,3,79,0,0,no_lives,0.963786,0.0401968240912538,35.196606679727104,0.012057878330133533,0.016863195876100363,1906,1906,0.998034167001606
11,11,148.4200000000008,158,1,1,81,0,0,no_lives,0.960784,0.03273488833168168,37.9400148995315,0.03402280408956841,0.038253062192492096,2064,2064,0.5824509579979349
12,12,149.18000000000043,82,1,1,81,0,0,no_lives,0.959226,0.005416959510667522,40.00660468310845,0.03132519110037786,0.033135246667193204,2146,2146,0.31284949999826495
13,13,349.1000000000005,90,2,2,80,0,0,no_lives,0.957516,0.004448733883651181,42.884310489230685,0.03107163935071892,0.03330128577848276,2236,2236,0.3417860000045039
14,14,149.03000000000054,97,1,1,81,0,0,no_lives,0.955673,0.0046540668981927494,45.47619274965267,0.03131381982995063,0.03284130594933156,2333,2333,0.3464287910028361
15,15,149.16000000000045,84,1,1,81,0,0,no_lives,0.954077,0.004575710998670686,47.42582062312535,0.0316640047267789,0.03319750877008552,2417,2417,0.31046066700218944
16,16,348.3500000000012,165,2,2,80,0,0,no_lives,0.950942,0.005011982383968478,50.26480747569691,0.03170971071178263,0.03310139657873096,2582,2582,0.6159698330011452
17,17,148.97000000000057,103,1,1,81,0,0,no_lives,0.948985,0.005560292899653822,52.88911615760581,0.031891800463199615,0.03312447999866264,2685,2685,0.415636915997311
18,18,545.280000000004,472,3,3,79,0,0,no_lives,0.940017,0.003921154873412087,56.757288132683705,0.03030578616485631,0.03120874737436741,3157,3157,1.7350269589951495
19,19,149.20000000000044,80,1,1,81,0,0,no_lives,0.938497,0.0038776615845563358,59.93174357414246,0.022835535835474728,0.023363013495691122,3237,3237,0.29634741700283485
20,20,149.0800000000005,92,1,1,81,0,0,no_lives,0.936749,0.0022199140847711215,61.881062507629395,0.02252791548633705,0.02302818180507292,3329,3329,0.35653683300188277
21,21,149.10000000000048,90,1,1,81,0,0,no_lives,0.935039,0.0024022375071783447,63.83792135450575,0.022519577853381635,0.022995778090424007,3419,3419,0.3581772079996881
22,22,944.3200000000048,568,5,5,77,0,0,no_lives,0.924247,0.0027664506526722927,69.127750181816,0.022522538106783594,0.022953093868457307,3987,3987,2.1743837500034715
23,23,149.13000000000048,87,1,1,81,0,0,no_lives,0.922594,0.004752583431090689,73.99086507161458,0.01742499524020943,0.018151367939580446,4074,4074,0.3240330000044196
24,24,548.1100000000014,189,3,3,79,0,0,no_lives,0.919003,0.0039283742791869575,77.90811048235211,0.012450331575656063,0.012815649650754437,4263,4263,0.7074244169998565
25,25,148.93000000000058,107,1,1,81,0,0,no_lives,0.91697,0.003390514432174093,81.02077605345539,0.012387709039324355,0.01272351214679602,4370,4370,0.41209758300101385
26,26,548.2900000000012,171,3,3,79,0,0,no_lives,0.913721,0.003655213651612227,84.36816339325486,0.012389876231638312,0.012710602044492786,4541,4541,0.6650079579994781
